UMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015
050,3,6,01,019,Alabama,Cherokee County,25989,25986,25976,26080,26023,26084,25995,25859,-10,104,-57,61,-89,-136,55,221,245,232,261,250,110,309,334,340,329,315,-55,-88,-89,-108,-68,-65,3,2,8,7,8,8,44,165,29,143,-2,-84,47,167,37,150,6,-76,-2,25,-5,19,-27,5,290,290,290,290,290,290,290,8.4908560012,9.4044488801,8.9047536799,10.023233933,9.6424576696,11.871830337,12.820758881,13.050070048,12.634651203,12.149496664,-3.380974335,-3.416310001,-4.145316368,-2.61141727,-2.507038994,0.0768403258,0.3070840451,0.2686779128,0.3072255612,0.3085586454,6.3393268787,1.1131796634,5.488705932,-0.07680639,-3.239865777,6.4161672045,1.4202637084,5.7573838448,0.2304191709,-2.931307132
050,3,6,01,021,Alabama,Chilton County,43643,43631,43665,43739,43697,43795,43921,43943,34,74,-42,98,126,22,124,565,565,537,586,561,142,474,495,499,474,462,-18,91,70,38,112,99,8,24,9,17,22,22,47,-60,-116,21,20,-99,55,-36,-107,38,42,-77,-3,19,-5,22,-28,0,393,393,393,393,393,393,393,12.928470093,12.923738506,12.275408037,13.361302385,12.769735045,10.846185529,11.322567364,11.406757189,10.807606366,10.51625239,2.0822845636,1.6011711423,0.8686508481,2.553696019,2.253482655,0.5491739508,0.2058648612,0.3886069584,0.5016188609,0.5007739233,-1.372934877,-2.653369322,0.4800438897,0.4560171462,-2.253482655,-0.823760926,-2.44750446,0.8686508481,0.9576360071,-1.752708732
050,3,6,01,023,Alabama,Choctaw County,13859,13858,13841,13593,13543,13378,13289,13170,-17,-248,-50,-165,-89,-119,29,114,110,138,119,127,21,160,145,194,183,168,8,-46,-35,-56,-64,-41,1,-1,0,0,0,0,-23,-212,-10,-118,-17,-70,-22,-213,-10,-118,-17,-70,-3,11,-5,9,-8,-8,129,129,129,129,129,129,129,8.3108551433,8.1073113208,10.252219457,8.9248884389,9.5997581163,11.664358096,10.686910377,14.412540396,13.72482844,12.698892626,-3.353502953,-2.579599057,-4.160320939,-4.799940001,-3.09913451,-0.072902238,0,0,0,0,-15.45527448,-0.737028302,-8.76639055,-1.274984063,-5.291205261,-15.52817672,-0.737028302,-8.76639055,-1.274984063,-5.291205261
050,3,6,01,025,Alabama,Clarke County,25833,25840,25767,25570,25144,25116,24847,24675,-73,-197,-426,-28,-269,-172,49,259,292,269,249,247,46,299,286,291,297,313,3,-40,6,-22,-48,-66,1,3,4,4,5,5,-81,-159,-448,-8,-217,-139,-80,-156,-444,-4,-212,-134,4,-1,12,-2,-9,28,280,280,280,280,280,280,280,10.090188363,11.515557834,10.704337445,9.9673758581,9.9753644845,11.648518612,11.278936783,11.579785117,11.88879771,12.640846492,-1.558330249,0.2366210514,-0.875447672,-1.921421852,-2.665482008,0.1168747687,0.1577473676,0.159172304,0.2001481096,0.2019304552,-6.19436274,-17.66770517,-0.318344608,-8.686427957,-5.613666653,-6.077487972,-17.5099578,-0.159172304,-8.486279847,-5.411736198
050,3,6,01,027,Alabama,Clay County,13932,13932,13880,13670,13456,13467,13538,13555,-52,-210,-214,11,71,17,27,153,147,121,164,149,39,211,183,172,176,194,-12,-58,-36,-51,-12,-45,1,-1,0,1,1,1,-36,-148,-181,66,77,53,-35,-149,-181,67,78,54,-5,-3,3,-5,5,8,255,255,255,255,255,255,255,11.10707804,10.838310108,8.9885971103,12.145898908,10.999151072,15.317604356,13.492590135,12.777179363,13.034623218,14.321042336,-4.210526316,-2.654280027,-3.788582253,-0.88872431,-3.321891263,-0.072595281,0,0.0742859265,0.0740603592,0.0738198059,-10.74410163,-13.34513013,4.9028711511,5.7026476578,3.9124497103,-10.81669691,-13.34513013,4.9771570776,5.776708017,3.9862695161
050,3,6,01,029,Alabama,Cleburne County,14972,14972,14973,14971,14921,15028,15072,15018,1,-2,-50,107,44,-54,41,184,183,177,186,185,22,174,159,187,187,189,19,10,24,-10,-1,-4,0,0,0,0,0,0,-10,-55,-77,110,55,-47,-10,-55,-77,110,55,-47,-8,43,3,7,-10,-3,178,178,178,178,178,178,178,12.289607267,12.244078683,11.82009416,12.358803987,12.296444001,11.621693828,10.638297872,12.48789609,12.425249169,12.562313061,0.6679134384,1.6057808109,-0.66780193,-0.066445183,-0.265869059,0,0,0,0,0,-3.673523911,-5.151880102,7.3458212294,3.6544850498,-3.123961449,-3.673523911,-5.151880102,7.3458212294,3.6544850498,-3.123961449
050,3,6,01,031,Alabama,Coffee County,49948,49948,50177,50448,51173,50755,50831,51211,229,271,725,-418,76,380,168,677,622,617,614,616,77,508,492,519,476,519,91,169,130,98,138,97,48,90,195,138,144,160,92,19,390,-670,-183,113,140,109,585,-532,-39,273,-2,-7,10,16,-23,10,600,600,600,600,600,600,600,13.455900621,12.241564244,12.10658504,12.088279881,12.073459948,10.09689441,9.6830379548,10.183659053,9.3713700707,10.172282002,3.3590062112,2.5585262889,1.922925987,2.7169098104,1.9011779463,1.7888198758,3.8377894333,2.7077937368,2.8350363239,3.1359636228,0.3776397516,7.6755788666,-13.14653481,-3.602858662,2.2147743086,2.1664596273,11.5133683,-10.43874107,-0.767822338,5.3507379314
050,3,6,01,033,Alabama,Colbert County,54428,54428,54514,54443,54472,54471,54480,54354,86,-71,29,-1,9,-126,162,605,623,589,587,573,129,671,668,723,678,649,33,-66,-45,-134,-91,-76,9,32,22,28,38,38,45,-4,58,96,100,-6,54,28,80,124,138,32,-1,-33,-6,9,-38,-82,474,474,474,474,474,474,474,11.10529842,11.44011385,10.812993951,10.775486228,10.529797674,12.316785521,12.266446311,13.27299597,12.445961946,11.926420053,-1.2114871,-0.826332461,-2.460002019,-1.670475718,-1.396622379,0.5873876851,0.4039847588,0.5140302727,0.697561289,0.6983111895,-0.073423461,1.0650507276,1.7623895064,1.8356876027,-0.110259662,0.5139642244,1.4690354864,2.2764197792,2.5332488917,0.588051528
050,3,6,01,035,Alabama,Conecuh County,13228,13228,13208,13121,12996,12875,12662,12672,-20,-87,-125,-121,-213,10,34,158,144,152,140,146,13,189,170,192,158,183,21,-31,-26,-40,-18,-37,0,0,0,0,0,0,-37,-64,-98,-79,-187,34,-37,-64,-98,-79,-187,34,-4,8,-1,-2,-8,13,45,45,45,45,45,45,45,12.001975009,11.027300226,11.75060879,10.964482907,11.526012473,14.35679289,13.018340544,14.842874261,12.374202138,14.446988237,-2.354817881,-1.991040319,-3.092265471,-1.409719231,-2.920975764,0,0,0,0,0,-4.861559497,-7.504690432,-6.107224305,-14.64541645,2.6841398911,-4.861559497,-7.504690432,-6.107224305,-14.64541645,2.6841398911
050,3,6,01,037,Alabama,Coosa County,11539,11758,11758,11348,11195,11059,10807,10724,0,-410,-153,-136,-252,-83,21,95,107,86,96,91,11,163,140,133,108,106,10,-68,-33,-47,-12,-15,-1,-1,-1,-1,-1,0,-5,-392,-116,-48,-251,-58,-6,-393,-117,-49,-252,-58,-4,51,-3,-40,12,-10,338,338,338,338,338,265,266,8.2229723881,9.4929689926,7.7289476049,8.7807555108,8.4529283359,14.108889466,12.420707093,11.952907343,9.8783499497,9.8462681715,-5.885917078,-2.927738101,-4.223959738,-1.097594439,-1.393339836,-0.086557604,-0.088719336,-0.089871484,-0.091466203,0,-33.9305808,-10.29144302,-4.313831221,-22.95801701,-5.387580698,-34.01713841,-10.38016236,-4.403702705,-23.04948322,-5.387580698
050,3,6,01,039,Alabama,Covington County,37765,37765,37796,38060,37818,37830,37888,37835,31,264,-242,12,58,-53,102,463,412,476,441,449,92,489,479,518,490,508,10,-26,-67,-42,-49,-59,0,7,2,2,2,2,22,254,-175,28,140,-12,22,261,-173,30,142,-10,-1,29,-2,24,-35,16,575,575,575,575,575,575,575,12.207340224,10.859537679,12.584602369,11.648485169,11.859012453,12.89284961,12.625530457,13.69500846,12.942761299,13.417323667,-0.685509386,-1.765992778,-1.110406091,-1.29427613,-1.558311213,0.1845602194,0.0527162023,0.0528764805,0.0528275971,0.0528241089,6.6968993883,-4.612667703,0.7402707276,3.6979317996,-0.316944654,6.8814596077,-4.559951501,0.7931472081,3.7507593967,-0.264120545
050,3,6,01,041,Alabama,Crenshaw County,13906,13906,13853,13896,13951,13932,13948,13963,-53,43,55,-19,16,15,37,166,149,145,131,138,24,164,167,162,173,184,13,2,-18,-17,-42,-46,9,13,16,19,23,23,-72,24,55,-26,43,48,-63,37,71,-7,66,71,-3,4,2,5,-8,-10,132,132,132,132,132,132,132,11.964395113,10.70133228,10.400602518,9.3974175036,9.8885743972,11.820245775,11.994110676,11.619983502,12.410329986,13.184765863,0.1441493387,-1.292778396,-1.219380985,-3.012912482,-3.296191466,0.9369707016,1.1491363522,1.3628375713,1.649928264,1.6480957329,1.7297920646,3.9501562107,-1.864935624,3.0846484935,3.4395041382,2.6667627662,5.0992925629,-0.502098053,4.7345767575,5.087599871
050,3,6,01,043,Alabama,Cullman County,80406,80410,80473,80469,80374,80756,81221,82005,63,-4,-95,382,465,784,249,996,926,952,977,960,228,910,965,961,979,964,21,86,-39,-9,-2,-4,9,30,31,38,41,41,34,-113,-82,328,412,646,43,-83,-51,366,453,687,-1,-7,-5,25,14,101,1056,1056,1052,1049,1043,1032,1032,12.377129649,11.514333854,11.816545646,12.063441106,11.762831902,11.308421667,11.9992788,11.928256687,12.08813597,11.811843701,1.0687079818,-0.484944946,-0.111711041,-0.024694864,-0.0490118,0.3728051099,0.3854690599,0.4716688388,0.5062447138,0.5023709458,-1.404232581,-1.019627836,4.0712468193,5.0871420016,7.9154056339,-1.031427471,-0.634158776,4.5429156582,5.5933867154,8.4177765797
050,3,6,01,045,Alabama,Dale County,50251,50251,50358,50109,50324,49833,49501,49565,107,-249,215,-491,-332,64,173,692,705,646,667,653,75,470,451,492,512,519,98,222,254,154,155,134,46,59,226,130,123,154,-28,-540,-265,-763,-595,-253,18,-481,-39,-633,-472,-99,-9,10,0,-12,-15,29,917,917,917,917,917,917,917,13.775667632,14.03921022,12.899747397,13.429440071,13.183130438,9.3563060507,8.981111786,9.8245754166,10.308655647,10.477863243,4.4193615814,5.0580984338,3.07517198,3.1207844243,2.7052671956,1.1745150149,4.5005127797,2.5959243987,2.4764934464,3.1090384188,-10.74979844,-5.277149941,-15.23607936,-11.97978537,-5.107705974,-9.575283426,-0.776637161,-12.64015496,-9.503291924,-1.998667555
050,3,6,01,047,Alabama,Dallas County,43820,43820,43803,43178,42777,42021,41662,41131,-17,-625,-401,-756,-359,-531,130,583,585,511,584,572,76,544,505,555,532,530,54,39,80,-44,52,42,3,-4,-3,-2,-1,-1,-73,-680,-486,-710,-391,-608,-70,-684,-489,-712,-392,-609,-1,20,8,0,-19,36,786,786,856,856,857,856,857,13.405226429,13.611773602,12.052171042,13.957434604,13.817593275,12.508478863,11.750334477,13.089931366,12.714649331,12.803014748,0.8967475656,1.8614391251,-1.037760325,1.242785273,1.0145785272,-0.091974109,-0.0
